지점,지점명,일시,합계 일사량(MJ/m2)
105,강릉,2020,5151.77
105,강릉,2021,5180.95
105,강릉,2022,5216.8
105,강릉,2023,5011.09
108,서울,2020,5116.25
108,서울,2021,5151.69
108,서울,2022,5325.9
108,서울,2023,5186
112,인천,2020,5154.45
112,인천,2021,5146.24
112,인천,2022,5496.68
112,인천,2023,5324.94
119,수원,2020,5037.87
119,수원,2021,5065.52
119,수원,2022,5252.14
119,수원,2023,5261.02
131,청주,2020,5372.2
131,청주,2021,5345.83
131,청주,2022,5567.93
131,청주,2023,5384.48
133,대전,2020,5523.26
133,대전,2021,5005.07
133,대전,2022,5533.4
133,대전,2023,5409.97
136,안동,2020,5487.72
136,안동,2021,5369.12
136,안동,2022,5739.42
136,안동,2023,5636.56
143,대구,2020,5556.63
143,대구,2021,5507.68
143,대구,2022,5799
143,대구,2023,5476.58
146,전주,2020,5193.35
146,전주,2021,5098.65
146,전주,2022,5328.18
146,전주,2023,5122.64
152,울산,2023,5289.6
156,광주,2020,5514.17
156,광주,2021,5490.21
156,광주,2022,5707.65
156,광주,2023,5500.43
159,부산,2020,5693.25
159,부산,2021,5714.17
159,부산,2022,5962.13
159,부산,2023,5704.92
168,여수,2020,4921.4
168,여수,2021,5205.83
168,여수,2022,5926.07
168,여수,2023,5509.7
177,홍성,2020,5163.53
177,홍성,2021,5160.14
177,홍성,2022,5392.74
177,홍성,2023,5157.53
184,제주,2020,5004.37
184,제주,2021,5080.15
184,제주,2022,5121.15
184,제주,2023,4912.32
192,진주,2020,5547.04
192,진주,2021,5593.68
192,진주,2022,5811.5
192,진주,2023,5487.5
239,세종,2021,0
239,세종,2023,5086.97
