허가번호,발전소명,법인(회사)명,설치장소,사업개시용량,사업개시일
2005-7,(주)에스피에너지,(주)에스피에너지,문경시 산북면 약석리 산21,1643,2007-03-30
2006-5,(주)씨그마이티엔,(주)씨그마이티엔,영주시 조와동 산49-2,2998.44,2008-09-29
2006-17,썬샤인에너지(주),썬샤인에너지(주),영주시 고현동 산31-2외 27,1641,2007-08-20
2007-4,(주)미래에너지,(주)미래에너지,영주시 부석면 보계리 1033,998.88,2008-07-30
2007-12,㈜광명에너지,㈜광명에너지,경주시 서면 사라리 산6-22 외 4,1998.62,2016-07-26
2007-85,군위솔라테크태양광발전소,군위솔라테크㈜,군위군 소보면 내의리 806-1외12,2987.09,2008-09-24
2008-134,영주태양광발전소,㈜천광산업,영주시 상망동 782 외10,1995.84,2009-10-23
2008-187,㈜지에이치에너지태양광발전소,㈜지에이치에너지,영양군 석보면 지경리 산3-1,1980,2013-05-02
2008-188,㈜부경에너지태양광발전소,㈜부경에너지,영양군 석보면 지경리 산3-1,1980,2013-05-02
2011-79,와이티썬㈜태양광발전소,와이티썬㈜,칠곡군 지천면 연화리 700(옥상),2970,2012-03-12
2012-67,구미오창1태양광발전소,㈜서브원,구미시 공단동 299(지붕),2995.5,2012-06-28
2012-105,방축안동태양광발전소,방축태양광㈜,"안동시 임동면 박곡리 1615-1, 1615-2",1989.05,2013-07-09
2012-107,김천시 하수처리장태양광발전소,㈜하나로햇빛발전소,"김천시 대광동 850,산52,산72-3(지붕)",2478,2013-03-26
2013-25,에스에너지㈜태양광발전소,에스에너지㈜,경산시 진량읍 신상리 1208-6(지붕),1495.04,2013-08-30
2013-235,포항하수처리장태양광발전소,영남에너지서비스㈜,포항시 남구 상도동 125-9 외45필지(지붕),1755.84,2013-12-29
2014-45,고경태양광발전소,이레에너지㈜,영천시 고경면 삼귀리 산26,3286.35,2017-06-14
2014-50,문경솔라팜태양광발전소,(주)문경솔라팜,문경시 동로면 석항리 산321(토지),2082.08,2016-09-07
2014-198,CB상주태양광발전소,㈜케이엔알,"상주시 화동면 판곡리 산121-7, 601-1(토지)",1456.38,2016-11-10
2014-199,신호솔라에너지,,영천시 화남면 신호리 산11(토지),2000.56,2017-04-26
2014-601,㈜일광2호태양광발전소,㈜일광2호태양광발전소,"성주군 수련면 송계리 산107-1,산107-6,산107-8, 산107-9(토지)",2004.3,2016-03-18
2014-702,㈜광전명도태양광발전소,㈜광전,울진군 울진읍 명도리 산138-4,2001.96,2017-08-23
2015-2,(주)영광1호태양광발전소,(주)영광1호태양광발전소,"김천시 남면 부상리 산168-7외 3필지(168-8, 168-10, 168-21)",1995.84,2016-01-07
2015-6,㈜서보의성발전소,㈜서보의성발전소,의성군 금성면 하리 산98-1 외 22필지,2000,2015-10-28
2015-10,㈜오운태양광 ,㈜오운태양광 ,영주시 평은면 오운리 산121,1400,2016-10-08
