"신재생에너지현황별(1)",신재생에너지현황별(2),2019,2020,2021,2022,2023
"신재생에너지현황별(1)",신재생에너지현황별(2),전국,전국,전국,전국,전국
"에너지생산량 (toe)",소계,2787935,4155969,5317227,6609387,7148551
"발전량 (MWh)",소계,12996018,19297854,24717623,30726260,33236447
"누적 보급용량 (kW)",소계,11767747,17322703,21199351,24369532,28033336
"신규 보급용량 (kW)",소계,3789044,4658157,3915086,3278244,3682247
"용도별 누적 보급용량 (kW)",소계,11767747,17322703,21199351,24369532,28033336
"용도별 누적 보급용량 (kW)",가정용,562709,1544774,1713937,1897216,2246407
"용도별 누적 보급용량 (kW)",공공시설,265939,324808,416503,526745,580830
"용도별 누적 보급용량 (kW)",교육시설,141303,184913,210651,247275,283520
"용도별 누적 보급용량 (kW)",사회복지시설,45059,57278,64436,68963,74849
"용도별 누적 보급용량 (kW)",산업시설,19827,47522,67265,111946,153911
"용도별 누적 보급용량 (kW)",상업시설,11302,179944,212978,240415,242488
"용도별 누적 보급용량 (kW)",발전사업용,10673133,14910942,18338405,21051253,24186093
"용도별 누적 보급용량 (kW)",기타,48475,72522,175176,225719,265238
"용량별 누적 보급용량 (kW)",소계,11767747,17322703,21199351,24369532,28033336
"용량별 누적 보급용량 (kW)",1kW 이하,12288,31333,39678,40697,41072
"용량별 누적 보급용량 (kW)",1~3kW 이하,389577,1221898,1391694,1503398,1681679
"용량별 누적 보급용량 (kW)",3~10kW 이하,54172,280528,319536,351453,393441
"용량별 누적 보급용량 (kW)",10~50kW 이하,567535,814768,1034350,1231022,1483024
"용량별 누적 보급용량 (kW)",50~100kW 이하,3422559,4886736,6170479,7236266,8404617
"용량별 누적 보급용량 (kW)",100~500kW 이하,2727601,3749380,4472763,5141286,5719401
"용량별 누적 보급용량 (kW)",500~1000kW 이하,2391010,3323023,4156129,4810230,5264527
"용량별 누적 보급용량 (kW)",1000~5000kW 이하,1655457,2057141,2387320,2601108,2872232
"용량별 누적 보급용량 (kW)",5000~10000kW 이하,243268,273204,273204,281703,290493
"용량별 누적 보급용량 (kW)",10000~20000kW 이하,140882,282028,312068,331260,331260
"용량별 누적 보급용량 (kW)",20000kW 초과,163397,402664,642130,841109,1551589
"신규 태양광 모듈 제조국별 비중 (%)",소계,-,100.0,100.0,100.0,100.0
"신규 태양광 모듈 제조국별 비중 (%)",한국,-,64.2,66.4,72.6,55.7
"신규 태양광 모듈 제조국별 비중 (%)",중국,-,35.8,33.6,27.4,44.3
"신규 태양광 모듈 제조국별 비중 (%)",기타,-,0.0,0.0,0.0,0.0
